card_id,@qr_image,url
YSLC201,qrs/YSLC201.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC201
YSLC202,qrs/YSLC202.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC202
YSLC203,qrs/YSLC203.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC203
YSLC204,qrs/YSLC204.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC204
YSLC205,qrs/YSLC205.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC205
YSLC206,qrs/YSLC206.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC206
YSLC207,qrs/YSLC207.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC207
YSLC208,qrs/YSLC208.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC208
YSLC209,qrs/YSLC209.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC209
YSLC210,qrs/YSLC210.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC210
YSLC211,qrs/YSLC211.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC211
YSLC212,qrs/YSLC212.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC212
YSLC213,qrs/YSLC213.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC213
YSLC214,qrs/YSLC214.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC214
YSLC215,qrs/YSLC215.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC215
YSLC216,qrs/YSLC216.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC216
YSLC217,qrs/YSLC217.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC217
YSLC218,qrs/YSLC218.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC218
YSLC219,qrs/YSLC219.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC219
YSLC220,qrs/YSLC220.png,https://yolkshire-pune.github.io/loyalty-card-tracker/?id=YSLC220
